iata,name,tz
AJN,Ouani Airport,Indian/Comoro
AJR,Arvidsjaur Airport,Europe/Stockholm
AJS,Punta Abreojos Airport,America/Hermosillo
AJU,Aracaju Aeroporto,America/Maceio
AJY,Mano Dayak International Airport,Africa/Niamey
AKA,Ankang Airport,Asia/Shanghai
AKB,Atka Airport,America/Adak
AKC,Akron Fulton International Airport,America/New_York
AKD,Akola Airport,Asia/Kolkata
AKE,Akieni Airport,Africa/Libreville
AKF,Kufra Airport,Africa/Tripoli
AKG,Anguganak Airport,Pacific/Port_Moresby
AKH,Prince Sultan Air Base,Asia/Riyadh
AKI,Akiak Airport,America/Anchorage
AKJ,Asahikawa Airport,Asia/Tokyo
AKK,Akhiok Airport,America/Anchorage
AKL,Auckland International Airport,Pacific/Auckland
AKM,Zakouma,Africa/Ndjamena
AKN,King Salmon Airport,America/Anchorage
AKO,Akron-Washington County Airport,America/Denver
AKP,Anaktuvuk Pass Airport,America/Anchorage
AKQ,Gunung Batin Airport,Asia/Jakarta
AKR,Akure Airport,Africa/Lagos
AKS,Gwaunaru'u Airport,Pacific/Guadalcanal
AKT,Akrotiri Airfield,Asia/Nicosia
AKU,Aksu Airport,Asia/Urumqi
AKV,Akulivik Airport,America/Toronto
AKW,Aghajari Airport,Asia/Tehran
AKX,Aktobe International Airport,Asia/Aqtobe
AKY,Akyab,Asia/Yangon
ALA,Almaty International Airport,Asia/Almaty
ALB,Albany County Airport,America/New_York
ALC,Alicante–Elche Airport,Europe/Madrid
ALD,Alerta Airport,America/Lima
ALE,Alpine – Casparis Municipal Airport,America/Chicago
ALF,Alta Lufthavn,Europe/Oslo
ALG,Algiers Houari Boumediene Airport,Africa/Algiers
ALH,Albany Aerodrome,Australia/Perth
ALI,Alice International Airport,America/Chicago
ALJ,Alexander Bay Airport,Africa/Johannesburg
ALK,Asela,Africa/Addis_Ababa
ALL,Riviera Airport,Europe/Rome
ALM,Alamogordo-White Sands Regional Airport,America/Denver
ALN,Saint Louis Regional Airport,America/Chicago
ALO,Waterloo Municipal Airport,America/Chicago
ALP,Aleppo International Airport,Asia/Damascus
ALQ,Gaudêncio Machado Ramos Airport,America/Sao_Paulo
ALR,Alexandra,Pacific/Auckland
ALS,San Luis Valley Regional Airport,America/Denver
ALT,Alenquer Airport,America/Santarem
ALU,Alula Airport,Africa/Mogadishu
ALV,Andorra la Vella Heliport,Europe/Andorra
ALW,Walla Walla Regional Airport,America/Los_Angeles
ALX,Thomas C Russell Field,America/Chicago
ALY,Alexandria / Nouzha Airport,Africa/Cairo
ALZ,Alitak Seaplane Base,America/Anchorage
AMA,Rick Husband Amarillo International Airport,America/Chicago
AMB,Ambilobe Airport,Indian/Antananarivo
AMC,Am Timan Airport,Africa/Ndjamena
AMD,Sardar Vallabhbhai Patel International Airport,Asia/Kolkata
AME,Alto Molocue Airport,Africa/Maputo
AMF,Ama Airport,Pacific/Port_Moresby
AMG,Amboin Airport,Pacific/Port_Moresby
AMH,Arba Minch Airport,Africa/Addis_Ababa
AMI,Ampenan Selaparang Airport,Asia/Makassar
AMJ,Cirilo Queiróz Airport,America/Sao_Paulo
AMK,Animas Air Park,America/Denver
AML,Puerto Armuelles Airport,America/Panama
AMM,Queen Alia International Airport,Asia/Amman
AMN,Gratiot Community Airport,America/Detroit
AMO,Mao,Africa/Ndjamena
AMP,Ampanihy Airport,Indian/Antananarivo
AMQ,Ambon Pattimura Airport,Asia/Jayapura
AMS,Amsterdam Airport Schiphol,Europe/Amsterdam
AMT,Amata Airport,Australia/Adelaide
AMU,Amanab Airport,Pacific/Port_Moresby
AMV,Amderma Airport,Europe/Moscow
AMW,Ames Municipal Airport,America/Chicago
AMX,Ammaroo Airport,Australia/Darwin
AMY,Ambatomainty Airport,Indian/Antananarivo
AMZ,Ardmore Airport,Pacific/Auckland
ANA,Angama Mara Airport,Africa/Nairobi
ANB,Anniston Metropolitan Airport,America/Chicago
ANC,Anchorage International Airport,America/Anchorage
AND,Anderson County Airport,America/New_York
ANE,Angers – Loire Airport,Europe/Paris
ANF,Aeropuerto Cerro Moreno,America/Santiago
ANG,Angoulême – Cognac International Airport,Europe/Paris
ANI,Aniak Airport,America/Anchorage
ANJ,Zanaga Airport,Africa/Brazzaville
ANK,Ankara Etimesgut Air Base,Europe/Istanbul
ANL,Andulo Airport,Africa/Luanda
ANM,Antsirabato Airport,Indian/Antananarivo
ANN,Annette Island Airport,America/Metlakatla
ANO,Antonio Enes,Africa/Maputo
ANP,Lee Airport,America/New_York
ANQ,Tri-State Steuben County Airport,America/Indiana/Indianapolis
ANR,Antwerp International Airport,Europe/Brussels
ANS,Andahuaylas Airport,America/Lima
ANU,V. C. Bird International Airport,America/Antigua
ANV,Anvik Airport,America/Anchorage
ANW,Ainsworth Municipal Airport,America/Chicago
ANX,Andøya Andenes Airport,Europe/Oslo
ANY,Anthony Municipal Airport,America/Chicago
ANZ,Angus Downs Stn,Australia/Darwin
AOA,Aroa,Pacific/Port_Moresby
AOB,Annanberg,Pacific/Port_Moresby
AOC,Altenburg Nobitz,Europe/Berlin
AOD,Abou-Deïa Airport,Africa/Ndjamena
AOE,Eskişehir Anadolu Airport,Europe/Istanbul
AOG,Anshan Teng'ao Airport,Asia/Shanghai
AOH,Lima Allen County Airport,America/New_York
AOI,Ancona Falconara Airport,Europe/Rome
AOJ,Aomori Airport,Asia/Tokyo
AOK,Karpathos Island National Airport,Europe/Athens
AOL,Paso de los Libres Airport,America/Argentina/Cordoba
AOM,Adam Airport,Asia/Muscat
AON,Arona,Pacific/Port_Moresby
AOO,Altoona-Blair County Airport,America/New_York
AOP,Alférez FAP Alfredo Vladimir Sara Bauer Airport,America/Lima
AOQ,Aappilattoq Upernavik Heliport,America/Nuuk
AOR,Sultan Abdul Halim Airport,Asia/Kuala_Lumpur
AOS,Amook Bay Seaplane Base,America/Anchorage
AOT,Aosta Airport,Europe/Rome
AOU,Attapeu International Airport,Asia/Vientiane
APA,Arapahoe County Airport,America/Denver
APB,Apolo Airport,America/La_Paz
APC,Napa County Airport,America/Los_Angeles
APD,Arung Palakka Airport,Asia/Makassar
APF,Naples Municipal Airport,America/New_York
APG,Phillips Army Airfield,America/New_York
APH,Fort Walker Airfield,America/New_York
API,Gomez Nino,America/Bogota
APJ,Ali Pulan Airport,Asia/Shanghai
APK,Apataki Airport,Pacific/Tahiti
APL,Nampula Airport,Africa/Maputo
APN,Alpena County Regional Airport,America/Detroit
APO,Antonio Roldán Betancourt Airport,America/Bogota
APP,Asapa,Pacific/Port_Moresby
APQ,Arapiraca Airport,America/Maceio
APR,April River Airport,Pacific/Port_Moresby
APS,Anapolis AFB,America/Sao_Paulo
APT,Marion County Airport,America/Chicago
APU,Apucarana Airport,America/Sao_Paulo
APV,Apple Valley Airport,America/Los_Angeles
APW,Faleolo International Airport,Pacific/Apia
APX,Arapongas Airport,America/Sao_Paulo
APY,Alto Parnaiba,America/Fortaleza
APZ,Zapala Airport,America/Argentina/Salta
AQA,Bartolomeu de Gusmao Airport,America/Sao_Paulo
AQB,Quiché Airport,America/Guatemala
AQG,Anqing Tianzhushan Airport,Asia/Shanghai
AQI,Al Qaisumah/Hafr Al Batin Airport,Asia/Riyadh
AQJ,King Hussein International Airport,Asia/Amman
AQM,Nova Vida Airport,America/Porto_Velho
AQP,Rodríguez Ballón International Airport,America/Lima
AQS,Saqani Seaplane Base,Pacific/Fiji
AQY,Girdwood Airport,America/Anchorage
ARA,Acadiana Regional Airport,America/Chicago
ARB,Ann Arbor Municipal,America/Detroit
ARC,Arctic Village Airport,America/Anchorage
ARD,Alor Island Airport,Asia/Makassar
ARE,Antonio (Nery) Juarbe Pol Airport,America/Puerto_Rico
ARF,Acaricuara Airport,America/Bogota
ARG,Walnut Ridge Regional Airport,America/Chicago
ARH,Arkhangelsk Talagi Airport,Europe/Moscow
ARI,Chacalluta Arica Airport,America/Santiago
ARJ,Arso Airport,Asia/Jayapura
ARK,Arusha Airport,Africa/Dar_es_Salaam
ARL,Arly Airport,Africa/Ouagadougou
ARM,Armidale Airport,Australia/Sydney
ARN,Stockholm Arlanda Airport,Europe/Stockholm
ARO,Arboletas,America/Bogota
ARP,Aragip Airport,Pacific/Port_Moresby
ARQ,Aeropuerto Arsenio Valderrama,America/Bogota
ARR,D. Casimiro Szlapelis Airport,America/Argentina/Catamarca
ARS,Aragarcas,America/Sao_Paulo
ART,Watertown International Airport,America/New_York
ARU,Araçatuba Airport,America/Sao_Paulo
ARV,Lakeland-Noble F Lee Memorial Field,America/Chicago
ARW,Arad Airport,Europe/Bucharest
ARX,Aracati Dragão do Mar Airport,America/Fortaleza
ARY,Ararat Airport,Australia/Melbourne
ARZ,N'zeto Airport,Africa/Luanda
ASA,Assab International Airport,Africa/Asmara
ASB,Ashgabat International Airport,Asia/Ashgabat
ASC,Ascención de Guarayos Airport,America/La_Paz
ASD,Andros Town International Airport,America/Nassau
ASE,Aspen–Pitkin County Airport,America/Denver
ASF,Astrakhan/Narimanovo Airport,Europe/Astrakhan
ASG,Ashburton Aerodrome,Pacific/Auckland
ASH,Boire Field,America/New_York
ASI,RAF Ascension Island,Atlantic/St_Helena
ASJ,Amami Airport,Asia/Tokyo
ASK,Yamoussoukro Airport,Africa/Abidjan
ASL,Harrison County Airport,America/Chicago
ASM,Asmara Airport,Africa/Asmara
ASN,Talladega Municipal Airport,America/Chicago
ASO,Assosa / Asosa,Africa/Addis_Ababa
ASP,Alice Springs Airport,Australia/Darwin
ASQ,Austin Airport,America/Los_Angeles
ASR,Kayseri Erkilet Airport,Europe/Istanbul
ASS,Arathusa Safari Lodge Airport,Africa/Johannesburg
AST,Astoria Regional Airport,America/Los_Angeles
ASU,Silvio Pettirossi International Airport,America/Asuncion
ASV,Amboseli Airport,Africa/Nairobi
ASW,Aswan International Airport,Africa/Cairo
ASX,John F Kennedy Memorial Airport,America/Chicago
ASY,Ashley Municipal Airport,America/Chicago
ASZ,Asirim,Pacific/Port_Moresby
ATA,Anta Huaraz,America/Lima
ATB,Atbara Airport,Africa/Khartoum
ATC,Arthur's Town Airport,America/Nassau
ATD,Uru Harbour Airport,Pacific/Guadalcanal
ATE,Antlers Municipal Airport,America/Chicago
ATF,Ambato / Chachoan,America/Guayaquil
ATG,Minhas Airbase,Asia/Karachi
ATH,Athens Eleftherios Venizelos International Airport,Europe/Athens
ATI,Artigas International Airport,America/Montevideo
ATJ,Antsirabe Airport,Indian/Antananarivo
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,America/Anchorage
ATL,Hartsfield-Jackson Atlanta International Airport,America/New_York
ATM,Altamira,America/Santarem
ATN,Namatanai Airport,Pacific/Port_Moresby
ATO,Ohio University Airport-Snyder Field,America/New_York
ATP,Aitape Airport,Pacific/Port_Moresby
ATQ,Sri Guru Ram Dass Jee International Airport,Asia/Kolkata
ATR,Atar Airport,Africa/Nouakchott
ATS,Artesia Municipal Airport,America/Denver
ATT,Atmautluak Airport,America/Nome
ATU,Casco Cove Coast Guard Station,America/Adak
ATV,Ati,Africa/Ndjamena
ATW,Appleton International Airport,America/Chicago
ATX,Atbasar Airport,Asia/Almaty
ATY,Watertown Municipal Airport,America/Chicago
ATZ,Assiut Airport,Africa/Cairo
AUA,Queen Beatrix International Airport,America/Aruba
AUB,Itauba Airport,America/Cuiaba
AUC,Aeropuerto Santiago Pérez Quiróz,America/Bogota
AUD,Augustus Downs Airport,Australia/Brisbane
AUE,Abu Rudeis Airfield,Africa/Cairo
AUF,Auxerre-Branches,Europe/Paris
AUG,Augusta State Airport,America/New_York
AUH,Abu Dhabi International Airport,Asia/Dubai
AUI,Aua Island Airport,Pacific/Port_Moresby
AUJ,Ambunti Airport,Pacific/Port_Moresby
AUK,Alakanuk Airport,America/Nome
AUL,Tabal airfield,Pacific/Majuro
AUM,Austin Municipal Airport,America/Chicago
AUN,Auburn Municipal Airport,America/Los_Angeles
AUO,Auburn-Opelika Robert G Pitts Airport,America/Chicago
AUP,Agaun Airport,Pacific/Port_Moresby
AUQ,Atuona Airport,Pacific/Marquesas
AUR,Aurillac Airport,Europe/Paris
AUS,Austin-Bergstrom International Airport,America/Chicago
AUT,Atauro Airport,Asia/Dili
AUU,Aurukun Airport,Australia/Brisbane
AUV,Aumo Airport,Pacific/Port_Moresby
AUW,Wausau Municipal Airport,America/Chicago
AUX,Araguaína Airport,America/Araguaina
AUY,Anatom Airport,Pacific/Efate
AUZ,Chicago/Aurora Municipal Airport,America/Chicago
AVA,Anshun Huangguoshu Airport,Asia/Shanghai
AVB,Aviano Airport,Europe/Rome
AVG,Auvergne Airport,Australia/Darwin
AVI,Máximo Gómez Airport,America/Havana
AVK,Arvaikheer Airport,Asia/Ulaanbaatar
AVL,Asheville Regional Airport,America/New_York
AVN,Avignon-Caumont,Europe/Paris
AVO,Avon Park Executive Airport,America/New_York
AVP,Wilkes-Barre/Scranton International Airport,America/New_York
AVR,Alverca Airport,Europe/Lisbon
AVU,Avu Avu,Pacific/Guadalcanal
AVV,Avalon Airport,Australia/Melbourne
AVW,Marana Regional Airport,America/Phoenix
AVX,Avalon Vor/WP Airport,America/Los_Angeles
AWA,Awassa Airport,Africa/Addis_Ababa
AWB,Awaba Airport,Pacific/Port_Moresby
AWD,Aniwa Airport,Pacific/Efate
AWE,Alowe,Africa/Libreville
AWK,Wake Island Airfield,Pacific/Wake
