iata,name,tz
MLT,Millinocket Municipal Airport,America/New_York
MLU,Monroe Regional Airport,America/Chicago
MLV,Merluna,Australia/Brisbane
MLW,James Spriggs Payne Airfield,Africa/Monrovia
MLX,Malatya Erhaç Airport,Europe/Istanbul
MLY,Manley Hot Springs Airport,America/Anchorage
MLZ,Cerro Largo International Airport,America/Montevideo
MMA,Malmö,Europe/Stockholm
MMB,Memambetsu Airport,Asia/Tokyo
MMC,Ciudad Mante National Airport,America/Monterrey
MMD,Minamidaitojima,Asia/Tokyo
MME,Teesside International Airport,Europe/London
MMF,Mamfe Airport,Africa/Douala
MMG,Mount Magnet Airport,Australia/Perth
MMH,Mammoth Lakes Airport,America/Los_Angeles
MMI,McMinn County Airport,America/New_York
MMJ,Matsumoto Airport,Asia/Tokyo
MMK,Murmansk Airport,Europe/Moscow
MML,"Marshall, Southwest Minnesota Regional Airport - Marshall/Ryan Field",America/Chicago
MMM,Middlemount Airport,Australia/Brisbane
MMN,Minute Man Air Field,America/New_York
MMO,Maio Airport,Atlantic/Cape_Verde
MMP,Mompos,America/Bogota
MMQ,Mbala,Africa/Lusaka
MMS,Selfs Airport,America/Chicago
MMT,McEntire Air National Guard Weather Facility Base,America/New_York
MMU,Morristown Municipal Airport,America/New_York
MMV,Mal Airport,Pacific/Port_Moresby
MMW,Moma,Africa/Maputo
MMX,Malmö Airport,Europe/Stockholm
MMY,Miyako Airport,Asia/Tokyo
MMZ,Maimana Airport,Asia/Kabul
MNA,Melangguane Airport,Asia/Makassar
MNB,Moanda,Africa/Kinshasa
MNC,Nacala Airport,Africa/Maputo
MND,Medina,America/Bogota
MNE,Mungeranie Airport,Australia/Adelaide
MNF,Mana Island Airport,Pacific/Fiji
MNG,Maningrida Airport,Australia/Darwin
MNH,Hingurakgoda Air Force Base,Asia/Muscat
MNI,John A. Osborne Airport,America/Montserrat
MNJ,Mananjary Airport,Indian/Antananarivo
MNK,Maiana Airport,Pacific/Tarawa
MNL,Ninoy Aquino Manila International Airport,Asia/Manila
MNM,Menominee-Marinette Twin County Airport,America/Menominee
MNN,Marion Municipal Airport,America/New_York
MNO,Manono Airport,Africa/Lubumbashi
MNP,Maron Island Airport,Pacific/Port_Moresby
MNQ,Monto Airport,Australia/Brisbane
MNR,Mongu Airport,Africa/Lusaka
MNS,Mansa Airport,Africa/Lusaka
MNT,Minto Al Wright Airport,America/Anchorage
MNU,Mawlamyine Airport,Asia/Yangon
MNV,Mount Valley,Australia/Darwin
MNW,MacDonald Downs Airport,Australia/Darwin
MNX,Manicore,America/Manaus
MNY,Mono Airport,Pacific/Guadalcanal
MNZ,Manassas Regional Airport,America/New_York
MOA,Orestes Acosta Airport,America/Havana
MOB,Mobile Regional Airport,America/Chicago
MOC,Montes Claros,America/Bahia
MOD,Modesto City-County Airport,America/Los_Angeles
MOE,Momeik Airport,Asia/Yangon
MOF,Frans Seda Airport,Asia/Makassar
MOG,Mong Hsat Airport,Asia/Yangon
MOH,Mohanbari Airport,Asia/Makassar
MOI,Mitiaro Island Airport,Pacific/Rarotonga
MOJ,Moengo Airstrip,America/Paramaribo
MOK,Muynak Airport,Asia/Samarkand
MOL,"Molde Airport, Årø",Europe/Oslo
MOM,Letfotar Airport,Africa/Nouakchott
MON,Mount Cook Airport,Pacific/Auckland
MOO,Moomba Airport,Australia/Adelaide
MOP,Mount Pleasant Municipal Airport,America/Detroit
MOQ,Morondava Airport,Indian/Antananarivo
MOR,Moore-Murrell Airport,America/New_York
MOS,Moses Point,America/Nome
MOT,Minot International Airport,America/Chicago
MOU,Mountain Village Airport,America/Nome
MOV,Moranbah Airport,Australia/Brisbane
MOW,Moscow,Europe/Moscow
MOX,Morris Municipal Airport - Charlie Schmidt Field,America/Chicago
MOY,Monterrey Airfield,America/Bogota
MOZ,Moorea-Temae Airport,Pacific/Tahiti
MPA,Katima Mulilo Airport,Africa/Windhoek
MPB,Miami Seaplane Base,America/New_York
MPC,Muko Muko Airport,Asia/Jakarta
MPD,Sindhri Airport,Asia/Karachi
MPE,Griswold Airport,America/New_York
MPF,Mapoda,Pacific/Port_Moresby
MPG,Makini,Pacific/Port_Moresby
MPH,Godofredo P. Ramos Airport,Asia/Manila
MPI,Mamitupo Airport,America/Panama
MPJ,Petit Jean Park Airport,America/Chicago
MPK,Mokpo Airport,Asia/Seoul
MPL,Montpellier–Méditerranée Airport,Europe/Paris
MPM,Maputo International Airport,Africa/Maputo
MPN,Mount Pleasant Airport,Atlantic/Stanley
MPO,Pocono Mountains Municipal Airport,America/New_York
MPP,Mulatupo Airport,America/Panama
MPQ,Ma'an,Asia/Amman
MPR,Mc Pherson Airport,America/Chicago
MPS,Mount Pleasant Regional Airport,America/Chicago
MPT,Maliana,Asia/Dili
MPU,Mapua,Pacific/Port_Moresby
MPV,Edward F Knapp State Airport,America/New_York
MPW,Mariupol International Airport,Europe/Kyiv
MPX,Miyanmin,Pacific/Port_Moresby
MPY,Maripasoula Airport,America/Cayenne
MPZ,Mount Pleasant Municipal Airport,America/Chicago
MQA,Mandora Airport,Australia/Perth
MQB,Macomb Municipal Airport,America/Chicago
MQC,Miquelon Airport,America/Miquelon
MQD,Maquinchao Airport,America/Argentina/Salta
MQE,Marqua Airport,Australia/Darwin
MQF,Magnitogorsk International Airport,Asia/Yekaterinburg
MQG,Midgard Airport,Africa/Windhoek
MQH,Minaçu Airport,America/Sao_Paulo
MQJ,Moma Airport,Asia/Magadan
MQK,San Matías Airport,America/La_Paz
MQL,Mildura Airport,Australia/Melbourne
MQM,Mardin Airport,Europe/Istanbul
MQN,"Mo i Rana Airport, Røssvoll",Europe/Oslo
MQO,Malam,Pacific/Port_Moresby
MQP,Kruger Mpumalanga International Airport,Africa/Johannesburg
MQQ,Moundou,Africa/Ndjamena
MQR,Mosquera,America/Bogota
MQS,Mustique Airport,America/St_Vincent
MQT,Sawyer International Airport,America/Detroit
MQU,Mariquita Airport,America/Bogota
MQV,Mostaganem Airport,Africa/Algiers
MQW,Telfair-Wheeler Airport,America/New_York
MQX,Alula Aba Nega Airport,Africa/Addis_Ababa
MQY,Smyrna Airport,America/Chicago
MQZ,Margaret River Airport,Australia/Perth
MRA,Misratah Airport,Africa/Tripoli
MRB,Eastern West Virginia Regional Airport,America/New_York
MRC,Maury County Airport,America/Chicago
MRD,Alberto Carnevalli Airport,America/Caracas
MRE,Mara Serena Airport,Africa/Nairobi
MRF,Marfa Municipal Airport,America/Chicago
MRG,Mareeba Airport,Australia/Brisbane
MRH,May River,Pacific/Port_Moresby
MRI,Merrill Field Airport,America/Anchorage
MRJ,Marcala,America/Tegucigalpa
MRK,Marco Island Airport,America/New_York
MRL,Miners Lake,Australia/Brisbane
MRM,Manare,Pacific/Port_Moresby
MRN,Foothills Regional Airport,America/New_York
MRO,Hood Aerodrome,Pacific/Auckland
MRP,Marla Airport,Australia/Adelaide
MRQ,Marinduque Airport,Asia/Manila
MRR,J.M. Velasco Ibarra,America/Guayaquil
MRS,Marseille Provence Airport,Europe/Paris
MRT,Moroak,Australia/Darwin
MRU,Sir Seewoosagur Ramgoolam International Airport,Indian/Mauritius
MRV,Mineralnye Vody Airport,Europe/Moscow
MRW,Lolland Falster Airport,Europe/Copenhagen
MRX,Mahshahr Airport,Asia/Tehran
MRY,Monterey Regional Airport,America/Los_Angeles
MRZ,Moree Airport,Australia/Sydney
MSA,Muskrat Dam Airport,America/Winnipeg
MSC,Falcon Field,America/Phoenix
MSD,Mount Pleasant Airport,America/Denver
MSE,Kent International Airport,Europe/London
MSF,Mount Swan,Australia/Darwin
MSG,Matsaile,Africa/Maseru
MSH,Masirah,Asia/Muscat
MSI,Masalembo Airport,Asia/Pontianak
MSJ,Misawa Air Base,Asia/Tokyo
MSK,Mastic Point Airport,America/Bogota
MSL,Northwest Alabama Regional Airport,America/Chicago
MSM,Masi Manimba Airport,Africa/Kinshasa
MSN,Dane County Regional Airport,America/Chicago
MSO,Missoula International Airport,America/Denver
MSP,Minneapolis-St Paul International Airport,America/Chicago
MSQ,Minsk National Airport,Europe/Minsk
MSR,Muş Airport,Europe/Istanbul
MSS,Massena International Airport-Richards Field,America/New_York
MST,Maastricht Aachen Airport,Europe/Amsterdam
MSU,Maseru / Moshoeshoe,Africa/Maseru
MSV,Sullivan County International Airport,America/New_York
MSW,Massawa International Airport,Africa/Asmara
MSX,Mossendjo Airport,Africa/Brazzaville
MSY,Louis Armstrong New Orleans International Airport,America/Chicago
MSZ,Namibe Airport,Africa/Luanda
MTA,Matamata Aerodrome,Pacific/Auckland
MTB,Montelíbano Airport,America/Bogota
MTC,Selfridge Air National Guard Base,America/Detroit
MTD,Mount Sanford Station Airport,Australia/Darwin
MTE,Monte Alegre Airport,America/Santarem
MTF,Mizan Teferi Airport,Africa/Addis_Ababa
MTG,Mato Grosso,America/Cuiaba
MTH,Florida Keys Marathon International Airport,America/New_York
MTI,Mosteiros Airport,Atlantic/Cape_Verde
MTJ,Montrose Regional Airport,America/Denver
MTK,Makin Airfield,Pacific/Tarawa
MTL,Maitland Airport,Australia/Sydney
MTM,Metlakatla Seaplane Base,America/Metlakatla
MTN,Martin State Airport,America/New_York
MTO,Coles County Memorial Airport,America/Chicago
MTP,Montauk Airport,America/New_York
MTQ,Mitchell Airport,Australia/Brisbane
MTR,Los Garzones Airport,America/Bogota
MTS,Manzini - Matsapha Airport,Africa/Mbabane
MTT,Minatitlán/Coatzacoalcos International Airport,America/Mexico_City
MTU,Montepuez Airport,Africa/Maputo
MTV,Mota Lava Airport,Pacific/Efate
MTW,Manitowoc County Airport,America/Chicago
MTX,Metro Field Airport,America/Anchorage
MTY,General Mariano Escobedo International Airport,America/Monterrey
MTZ,Bar Yehuda Airfield,Asia/Jerusalem
MUA,Munda,Pacific/Guadalcanal
MUB,Maun Airport,Africa/Gaborone
MUC,Munich International Airport,Europe/Berlin
MUD,Mueda,Africa/Maputo
MUE,Waimea-Kohala Airport,Pacific/Honolulu
MUF,Muting Airport,Asia/Jayapura
MUG,Mulege Airport,America/Mazatlan
MUH,Mersa Matruh Airport,Africa/Cairo
MUI,Muir Army Airfield,America/New_York
MUJ,Mui,Africa/Addis_Ababa
MUK,Mauke Airport,Pacific/Rarotonga
MUL,Spence Airport,America/New_York
MUN,José Tadeo Monagas International Airport,America/Caracas
MUO,Mountain Home Air Force Base,America/Boise
MUP,Mulga Park Airport,Australia/Darwin
MUQ,Muccan Station Airport,Australia/Perth
MUR,Marudi Airfield,Asia/Kuching
MUS,Minami Torishima Airport,Asia/Tokyo
MUT,Muscatine Municipal Airport,America/Chicago
MUU,Barra Grande Airport,America/Bahia
MUW,Ghriss Airport,Africa/Algiers
MUX,Multan International Airport,Asia/Karachi
MUY,Mouyondzi Airport,Africa/Brazzaville
MUZ,Musoma Airport,Africa/Dar_es_Salaam
MVA,Reykjahlíð Mývatn Airport,Atlantic/Reykjavik
MVB,Franceville / Mvengue Airport,Africa/Libreville
MVC,Monroe County Airport,America/Chicago
MVD,Carrasco International Airport,America/Montevideo
MVE,Montevideo-Chippewa County Airport,America/Chicago
MVF,Mocoro / 17 Rosado,America/Fortaleza
MVG,Mevang,Africa/Libreville
MVH,Macksville,Australia/Sydney
MVI,Manetai Airport,Pacific/Port_Moresby
MVJ,Marlboro Airfield,America/Jamaica
MVK,Mulka Airport,Australia/Adelaide
MVL,Morrisville-Stowe State Airport,America/New_York
MVM,Kayenta Airport,America/Denver
MVN,Mount Vernon Airport,America/Chicago
MVO,Mongo,Africa/Ndjamena
MVP,Fabio Alberto León Bentley Airport,America/Bogota
MVQ,Mogilev Airport,Europe/Minsk
MVR,Salak Airport,Africa/Douala
MVS,Mucuri Airport,America/Bahia
MVT,Mataiva Airport,Pacific/Tahiti
MVU,Musgrave Airport,Australia/Brisbane
MVV,Megève Altiport,Europe/Paris
MVW,Bay View Airport,America/Los_Angeles
MVX,Minvoul Airport,Africa/Libreville
MVY,Martha's Vineyard Airport,America/New_York
MVZ,Masvingo Airport,Africa/Harare
MWA,Williamson County Regional Airport,America/Chicago
MWB,Morawa Airport,Australia/Perth
MWC,Lawrence J. Timmerman Airport,America/Chicago
MWD,PAF Base M.M. Alam,Asia/Karachi
MWE,Merowe Airport,Africa/Khartoum
MWF,Maewo Naone Airport,Pacific/Efate
MWG,Marawaka,Pacific/Port_Moresby
MWH,Grant County International Airport,America/Los_Angeles
MWI,Maramuni Airport,Pacific/Port_Moresby
MWJ,Matthews Ridge,America/Guyana
MWK,Tarempa Airport,Asia/Jakarta
MWL,Mineral Wells Airport,America/Chicago
MWM,Windom Municipal Airport,America/Chicago
MWN,Mwadui Airport,Africa/Dar_es_Salaam
MWO,Middletown Regional Airport/Hook Field,America/New_York
MWP,Mountain Airport,Asia/Kathmandu
MWQ,Magway Airport,Asia/Yangon
MWR,Motswari Airport,Africa/Johannesburg
MWS,IMIP Airport,Asia/Makassar
MWT,Moolawatana Airport,Australia/Adelaide
MWU,Mussau,Pacific/Port_Moresby
MWV,Môndól Kiri Airport,Asia/Phnom_Penh
MWX,Muan International Airport,Asia/Seoul
MWY,Miranda Downs Airport,Australia/Brisbane
MWZ,Mwanza Airport,Africa/Dar_es_Salaam
MXA,Manila Municipal Airport,America/Chicago
MXB,Andi Jemma Airport,Asia/Makassar
MXC,Monticello Airport,America/Denver
MXD,Marion Downs Airport,Australia/Brisbane
MXE,Laurinburg-Maxton Airport,America/New_York
MXF,Maxwell Air Force Base / Montgomery,America/Chicago
MXG,Marlborough,America/New_York
MXH,Moro Airport,Pacific/Port_Moresby
MXI,Mati Airport,Asia/Manila
MXJ,Minna Airport,Africa/Lagos
MXK,Mindik,Pacific/Port_Moresby
MXL,General Rodolfo Sánchez Taboada International Airport,America/Tijuana
MXM,Morombe Airport,Indian/Antananarivo
MXN,Morlaix – Ploujean Airport,Europe/Paris
MXO,Monticello Regional Airport,America/Chicago
MXP,Milano Malpensa Airport,Europe/Rome
MXQ,Aeródromo de Lorenzo,America/Bahia
MXR,Myrhorod Airport,Europe/Kyiv
MXS,Maota Airport,Pacific/Apia
MXT,Maintirano Airport,Indian/Antananarivo
MXU,Mullewa Airport,Australia/Perth
MXV,Mörön Airport,Asia/Ulaanbaatar
MXW,Mandalgovi Airport,Asia/Ulaanbaatar
MXX,Mora-Siljan Airport,Europe/Stockholm
MXY,McCarthy Airport,America/Anchorage
MXZ,Meixian Airport,Asia/Shanghai
MYA,Moruya Airport,Australia/Sydney
MYB,Mayumba,Africa/Libreville
MYC,Mariscal Sucre Airport,America/Caracas
MYD,Malindi Airport,Africa/Nairobi
MYE,Miyakejima Airport,Asia/Tokyo
MYF,Montgomery Field Airport,America/Los_Angeles
MYG,Mayaguana,America/Nassau
MYH,Marble Canyon,America/Phoenix
MYI,Murray Island Airport,Australia/Lindeman
MYJ,Matsuyama Airport,Asia/Tokyo
MYK,May Creek Airport,America/Anchorage
MYL,McCall Airport,America/Boise
MYM,Monkey Mountain Airport,America/Guyana
MYN,Marib,Asia/Aden
MYO,Camballin Airport,Australia/Perth
MYP,Mary Airport,Asia/Ashgabat
MYQ,Mysore Airport,Asia/Kolkata
MYR,Myrtle Beach International Airport,America/New_York
MYT,Myitkyina Airport,Asia/Yangon
MYU,Mekoryuk Airport,America/Nome
MYV,Yuba County Airport,America/Los_Angeles
MYW,Mtwara Airport,Africa/Dar_es_Salaam
MYX,Menyamya,Pacific/Port_Moresby
MYY,Miri Airport,Asia/Kuching
MYZ,Monkey Bay Airport,Africa/Blantyre
MZA,Muzaffarnagar Airport,America/Lima
MZB,Mocímboa da Praia Airport,Africa/Maputo
MZC,Mitzic,Africa/Libreville
MZD,Méndez Airport,America/Guayaquil
MZE,Manatee Airport,America/New_York
MZF,Mzamba Wild Coast,Africa/Johannesburg
MZG,Penghu Magong Airport,Asia/Taipei
MZH,Merzifon,Europe/Istanbul
MZI,Mopti Airport,Africa/Bamako
MZJ,Pinal Airpark,America/Phoenix
MZK,Marakei Airport,Pacific/Tarawa
MZL,La Nubia Airport,America/Bogota
MZM,Metz-Frescaty,Europe/Paris
MZN,Minj Airport,Pacific/Port_Moresby
MZO,"Manzanillo, Oriente",America/Havana
MZP,Motueka,Pacific/Auckland
MZQ,Mkuze,Africa/Johannesburg
MZR,Mazar-i-Sharif Airfield,Asia/Kabul
MZS,Moradabad Airport,Asia/Kolkata
MZT,General Rafael Buelna International Airport,America/Mazatlan
MZU,Muzaffarpur Airport,Asia/Kolkata
MZV,Mulu Airport,Asia/Kuching
MZW,Mecheria Airport,Africa/Algiers
MZX,Mena,Africa/Addis_Ababa
MZY,Mossel Bay Cape Saint Blaize,Africa/Johannesburg
MZZ,Marion Municipal Airport,America/Indiana/Indianapolis
NAA,Narrabri Airport,Australia/Sydney
NAB,Albany Naval Air Station (historical),America/New_York
NAC,Naracoorte Airport,Australia/Adelaide
NAD,Macanal,America/Bogota
NAE,Natitingou,Africa/Porto-Novo
NAF,Banaina Airport,Asia/Makassar
NAG,Dr. Babasaheb Ambedkar International Airport,Asia/Kolkata
NAH,Naha Airport,Asia/Makassar
NAI,Annai Airport,America/Guyana
NAJ,Nakhchivan International Airport,Asia/Baku
NAK,Nakhon Ratchasima Airport,Asia/Bangkok
NAL,Nalchik Airport,Europe/Moscow
NAM,Namlea Airport,Asia/Jayapura
NAN,Nadi International Airport,Pacific/Fiji
NAO,Nanchong Gaoping Airport,Asia/Shanghai
NAP,Naples International Airport,Europe/Rome
NAQ,Qaanaaq Airport,America/Thule
NAR,Puerto Nare Airport,America/Bogota
NAS,Lynden Pindling International Airport,America/Nassau
NAT,Augusto Severo International Airport,America/Fortaleza
NAU,Napuka Airport,Pacific/Tahiti
NAV,Nevşehir Kapadokya Airport,Europe/Istanbul
NAW,Narathiwat Airport,Asia/Bangkok
NAX,NAS Barbers Point,Pacific/Honolulu
NAY,Beijing Nanyuan Airport,Asia/Shanghai
NAZ,Star Harbour,Pacific/Guadalcanal
NBA,Nambaiyufa,Pacific/Port_Moresby
NBB,Barranco Minas Airport,America/Bogota
NBC,Begishevo Airport,Europe/Moscow
NBE,Enfidha – Hammamet International Airport,Africa/Tunis
NBG,"New Orleans, Naval Air Station - Alvin Callender Field",America/Chicago
NBH,Nambucca Heads Airport,Australia/Sydney
NBJ,Dr. Antonio Agostinho Neto International Airport,Africa/Luanda
NBL,San Blas Airport,America/Panama
NBN,Annobon Airport,Africa/Malabo
NBO,Jomo Kenyatta International Airport,Africa/Nairobi
NBR,Nambour Airport,Australia/Brisbane
NBS,Changbaishan Airport,Asia/Shanghai
NBU,Naval Air Station Glenview (historical),America/Chicago
NBV,Cana Brava Airport,America/Sao_Paulo
NBW,Guantanamo Bay Naval Base,America/Havana
NBX,Nabire Airport,Asia/Jayapura
NCA,North Caicos Airport,America/Grand_Turk
NCE,Nice Côte d'Azur International Airport,Europe/Paris
NCG,Nuevo Casas Grandes Municipal Airport,America/Chihuahua
NCH,Nachingwea Airport,Africa/Dar_es_Salaam
NCI,Necocli Airport,America/Bogota
NCJ,Sunchales Airport,America/Argentina/Cordoba
NCL,Newcastle International Airport,Europe/London
NCN,Chenega Bay Airport,America/Anchorage
NCO,Quonset State Airport,America/New_York
NCR,San Carlos,America/Managua
NCS,Newcastle Airport,Africa/Johannesburg
NCT,Nicoya Airport,America/Costa_Rica
NCU,Nukus / Karakalpakstan,Asia/Samarkand
NCY,Annecy-Meythet,Europe/Paris
NDA,Bandanaira Airport,Asia/Jayapura
NDB,Nouadhibou International Airport,Africa/Nouakchott
NDC,Nanded Airport,Asia/Kolkata
NDD,Sumbe Airport,Africa/Luanda
NDE,Mandera Airport,Africa/Nairobi
NDF,Ndalatandos Airport,Africa/Luanda
NDG,Qiqihar Sanjiazi Airport,Asia/Shanghai
NDI,Namudi,Pacific/Port_Moresby
NDJ,N'Djamena International Airport,Africa/Ndjamena
NDK,Namdrik Airfield,Pacific/Majuro
NDL,N'Dele,Africa/Bangui
NDM,Mendi Airport,Africa/Addis_Ababa
NDN,Nadunumu Airport,Pacific/Port_Moresby
NDP,NAS Pensacola Ellyson,America/Chicago
NDR,Nador International Airport,Africa/Casablanca
NDS,Sandstone Airport,Australia/Perth
NDU,Rundu Airport,Africa/Windhoek
NDY,Sanday Airport,Europe/London
NEC,Necochea Airport,America/Argentina/Buenos_Aires
NEF,Neftekamsk Airport,Asia/Yekaterinburg
NEG,Negril Aerodrome,America/Jamaica
NEI,Terney Airport,Asia/Vladivostok
NEJ,Nejjo Airport,Africa/Addis_Ababa
NEK,Nekemte Airport,Africa/Addis_Ababa
NEL,Holmansville Heliport,America/New_York
NEN,Whitehouse Naval Outlying Field,America/New_York
NER,Chulman Airport,Asia/Yakutsk
NET,New Bight Airport,America/Nassau
NEU,Sam Neua Airport,Asia/Vientiane
NEV,Vance W. Amory International Airport,America/St_Kitts
NEW,Lakefront Airport,America/Chicago
NFG,Nefteyugansk Airport,Asia/Yekaterinburg
NFL,Naval Air Station Fallon,America/Los_Angeles
NFO,Niuafoʻou Airport,Pacific/Tongatapu
NFR,Nafoora,Africa/Tripoli
NGA,Young Airport,Australia/Sydney
NGB,Ningbo Lishe International Airport,Asia/Shanghai
NGC,North Rim Airport,America/Phoenix
NGD,Auguste George Airport,America/Tortola
NGE,Ngaoundéré Airport,Africa/Douala
NGF,Marine Corps Air Station Kaneohe Bay,Pacific/Honolulu
NGI,Ngau Airport,Pacific/Fiji
NGK,Nogliki,Asia/Sakhalin
NGL,Ngala Airport,Africa/Johannesburg
NGN,Nargana Airport,America/Panama
NGO,Chūbu Centrair International Airport,Asia/Tokyo
NGP,"Corpus Christi, Corpus Christi Naval Air Station/Truax Field",America/Chicago
NGQ,Ngari Gunsa Airport,Asia/Shanghai
NGR,Ningerum Airport,Pacific/Port_Moresby
NGS,Nagasaki Airport,Asia/Tokyo
NGU,Naval Station Norfolk Chambers Field,America/New_York
NGW,Cabaniss Field,America/Chicago
NGX,Manang Airport,Asia/Kathmandu
NGZ,Naval Air Station Alameda,America/Los_Angeles
NHA,Nha Trang Air Base,Asia/Ho_Chi_Minh
NHD,Al Minhad Air Base,Asia/Dubai
NHF,New Halfa Airport,Africa/Khartoum
NHK,Naval Air Station Patuxent River,America/New_York
NHS,Nushki Airport,Asia/Karachi
NHT,RAF Northolt,Europe/London
NHV,Nuku Hiva Airport,Pacific/Marquesas
NHX,Naval Outlying Field Barin,America/Chicago
NHZ,Naval Air Station Brunswick,America/New_York
NIA,Nimba,Africa/Monrovia
NIB,Nikolai Airport,America/Anchorage
NIC,Nicosia International Airport,Asia/Nicosia
NID,Ridgecrest Community Hospital Heliport,America/Los_Angeles
NIE,Niblack,America/Juneau
NIF,Camp Nifty Airport,Australia/Perth
NIG,Nikunau Airfield,Pacific/Tarawa
NIK,Niokolo-Koba,Africa/Dakar
NIM,Diori Hamani International Airport,Africa/Niamey
NIN,Ninilchik,America/Anchorage
NIO,Nioki Airport,Africa/Kinshasa
NIP,"Jacksonville, Naval Air Station",America/New_York
NIQ,Niaqornat Heliport,America/Nuuk
NIR,"Naval Air Station, Chase Field",America/Chicago
NIS,Simberi Island,Pacific/Port_Moresby
NIT,Niort-Souché,Europe/Paris
NIU,Niau Airport,Pacific/Tahiti
NIX,Nioro Airport,Africa/Bamako
NJA,Atsugi United States Naval Air Station,Asia/Tokyo
NJC,Nizhnevartovsk Airport,Asia/Yekaterinburg
NJF,Al Najaf International Airport,Asia/Baghdad
NJJ,Heihe Nenjiang Melgen Airport,Asia/Shanghai
NJK,"El Centro, Naval Air Facility",America/Los_Angeles
NKA,Nkan Airport,Africa/Libreville
NKB,Noonkanbah Airport,Australia/Perth
NKC,Nouakchott Airport,Africa/Nouakchott
NKD,Sinak,Asia/Jayapura
NKG,Nanjing Lukou International Airport,Asia/Shanghai
NKI,Naukiti Bay Seaplane Base,America/Juneau
NKL,Nkolo Fuma Airport,Africa/Kinshasa
NKM,Nagoya Airfield,Asia/Tokyo
NKN,Nankina,Pacific/Port_Moresby
NKO,Ankokoambo Airport,Indian/Antananarivo
NKP,Nukutepipi Airport,Pacific/Tahiti
NKS,Nkongsamba,Africa/Douala
NKT,Şırnak Airport,Europe/Istanbul
NKU,Nkaus Airport,Africa/Maseru
NKW,Naval Support Facility Diego Garcia,Indian/Chagos
NKX,Miramar Marine Corps Air Station,America/Los_Angeles
NKY,Nkayi-Yokangassi Airport,Africa/Brazzaville
NLA,Ndola Airport,Africa/Lusaka
NLC,Lemoore Naval Air Station (Reeves Field),America/Los_Angeles
NLD,Quetzalcóatl International Airport,America/Matamoros
NLE,Jerry Tyler Memorial Airport,America/Detroit
NLF,Darnley Island Airport,Pacific/Port_Moresby
NLG,Nelson Lagoon Airport,America/Anchorage
NLH,Ninglang Luguhu Airport,Asia/Shanghai
NLI,Nikolayevsk-on-Amur Airport,Asia/Vladivostok
NLK,Norfolk Island Airport,Pacific/Norfolk
NLL,Nullagine Airport,Australia/Perth
NLN,Kneeland Airport,America/Los_Angeles
NLO,N'Dolo Airport,Africa/Kinshasa
NLP,Nelspruit Airport,Africa/Johannesburg
NLS,Nicholson Airport,Australia/Perth
NLT,Nalati Airport,Asia/Urumqi
NLU,Felipe Angeles International Airport,America/Mexico_City
NLV,Mykolaiv Airport,Europe/Kyiv
NMA,Namangan Airport,Asia/Tashkent
NMB,Daman Airport,Asia/Kolkata
NMC,Norman's Cay Airport,America/Nassau
NME,Nightmute Airport,America/Nome
NMF,Maafaru International Airport,Indian/Maldives
NMG,San Miguel,America/Panama
NMI,Navi Mumbai International Airport,Asia/Kolkata
NML,Fort McMurray/Mildred Lake Airport,America/Edmonton
NMN,Nomane,Pacific/Port_Moresby
NMP,New Moon,Australia/Brisbane
NMR,Nappa Merrie Airport,Australia/Brisbane
NMS,Namsang Airport,Asia/Yangon
NMT,Namtu Airport,Asia/Yangon
NNA,Kenitra Air Base,Africa/Casablanca
NNB,Santa Ana Island Airport,Pacific/Guadalcanal
NND,Nangade,Africa/Maputo
NNG,Nanning Airport,Asia/Shanghai
NNI,Namutoni Airport,Africa/Windhoek
NNK,Naknek Airport,America/Anchorage
NNL,Nondalton Airport,America/Anchorage
NNM,Naryan Mar Airport,Europe/Moscow
NNR,Connemara Regional Airport,Europe/Dublin
NNT,Nan,Asia/Bangkok
NNU,Nanuque Airport,America/Sao_Paulo
NNX,Nunukan Airport,Asia/Makassar
NNY,Nanyang Jiangying Airport,Asia/Shanghai
NOA,Naval Air Station Nowra,Australia/Sydney
NOB,Nosara Airport,America/Costa_Rica
NOC,Ireland West Airport Knock,Europe/Dublin
NOD,Norden-Norddeich,Europe/Berlin
NOG,Nogales International Airport,America/Hermosillo
NOI,Novorossiysk,Europe/Moscow
NOJ,Noyabrsk Airport,Asia/Yekaterinburg
NOK,Xavantina Airfield,America/Cuiaba
NOL,Nakolik River,America/Anchorage
NOM,Nomad River,Pacific/Port_Moresby
NON,Nonouti Airfield,Pacific/Tarawa
NOO,Naoro,Pacific/Port_Moresby
NOP,Sinop Airport,Europe/Istanbul
NOR,Norðfjörður Airport,Atlantic/Reykjavik
NOS,Fascene Nosy Be Airport,Indian/Antananarivo
NOT,Gnoss Field,America/Los_Angeles
NOU,La Tontouta International Airport,Pacific/Noumea
NOV,Albano Machado Airport,Africa/Luanda
NOZ,Spichenkovo Airport,Asia/Novokuznetsk
NPA,Naval Air Station Pensacola,America/Chicago
NPE,Hawke's Bay Airport,Pacific/Auckland
NPG,Nipa,Pacific/Port_Moresby
NPH,Nephi,America/Denver
NPL,New Plymouth Airport,Pacific/Auckland
NPO,Nanga Pinoh Airport,Asia/Pontianak
NPP,Napperby,Australia/Darwin
NPR,Novo Progresso Airport,America/Santarem
NPT,Newport State Airport,America/New_York
NPU,San Pedro de Urabá Airport,America/Bogota
NPY,Mpanda Airport,Africa/Dar_es_Salaam
